event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_name,r_id,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,r_nick_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_id,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per,b_nick_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner,winner_id
a6a9ab5a824e8f66,UFC 2: No Way Out,3/11/1994,"Denver, Colorado, USA",00835554f95fa911,2 tournament,1,KO/TKO,1,77,,John McCarthy,Royce Gracie,429e7d3725852ce9,0,4,4,100,11,11,100,1,2,50,0,,3,3,100,0,0,,1,1,100,0,0,,1,1,100,3,3,100,75,0,25,0,25,75,,15,2,3,185.42,79.38,,Southpaw,12/12/1966,0.88,41,1.13,37,0,0,66,0.8,Patrick Smith,46c8ec317aff28ac,0,1,2,50,2,3,67,0,0,,0,,0,0,,1,2,50,0,0,,0,1,0,1,1,100,0,0,,0,100,0,0,100,0,,20,17,0,187.96,102.06,,Orthodox,8/28/1963,0,0,0,0,0,0,0,0,Royce Gracie,429e7d3725852ce9
a6a9ab5a824e8f66,UFC 2: No Way Out,3/11/1994,"Denver, Colorado, USA",aa161c7159741766,open weight,0,Submission,1,91,,John McCarthy,Royce Gracie,429e7d3725852ce9,0,0,0,,0,0,,1,2,50,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,33,34,33,33,34,33,,15,2,3,185.42,79.38,,Southpaw,12/12/1966,0.88,41,1.13,37,0,0,66,0.8,Remco Pardoel,749685d24e2cac50,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,Grizzly,9,6,1,190.5,117.93,,Southpaw,5/23/1969,0,0,0,0,0,0,0,0,Royce Gracie,429e7d3725852ce9
a6a9ab5a824e8f66,UFC 2: No Way Out,3/11/1994,"Denver, Colorado, USA",8fbdde20b712b8da,open weight,0,Submission,1,67,,John McCarthy,Patrick Smith,46c8ec317aff28ac,0,5,12,41,5,12,42,0,0,,1,,1,4,25,2,2,100,2,6,33,3,10,30,2,2,100,0,0,,20,40,40,60,40,0,,20,17,0,187.96,102.06,,Orthodox,8/28/1963,0,0,0,0,0,0,0,0,Johnny Rhodes,319fa1bd3176bded,0,4,9,44,4,9,44,0,0,,0,,2,5,40,0,0,,2,4,50,4,9,44,0,0,,0,0,,50,0,50,100,0,0,,2,1,0,182.88,95.25,,Orthodox,,0,0,0,0,0,0,0,0,Patrick Smith,46c8ec317aff28ac
a6a9ab5a824e8f66,UFC 2: No Way Out,3/11/1994,"Denver, Colorado, USA",5655639baecd8f6a,open weight,0,Submission,1,67,,John McCarthy,Royce Gracie,429e7d3725852ce9,0,0,0,,0,0,,0,0,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,33,34,33,33,34,33,,15,2,3,185.42,79.38,,Southpaw,12/12/1966,0.88,41,1.13,37,0,0,66,0.8,Jason DeLucia,6ceff86fae4f6b3b,0,0,0,,0,0,,1,1,100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,,33,21,1,180.34,86.18,,Southpaw,7/24/1969,0,0,0,0,0,0,0,0,Royce Gracie,429e7d3725852ce9
a6a9ab5a824e8f66,UFC 2: No Way Out,3/11/1994,"Denver, Colorado, USA",c4aa04781989699e,open weight,0,KO/TKO,1,89,,John McCarthy,Remco Pardoel,749685d24e2cac50,0,7,7,100,7,7,100,1,1,100,0,,7,7,100,0,0,,0,0,,0,0,,0,0,,7,7,100,100,0,0,0,0,100,Grizzly,9,6,1,190.5,117.93,,Southpaw,5/23/1969,0,0,0,0,0,0,0,0,Orlando Wiet,a6c2f5381d575920,0,1,2,50,5,7,71,0,0,,0,,0,1,0,0,0,,1,1,100,1,2,50,0,0,,0,0,,0,0,100,100,0,0,The Gladiator,1,5,0,177.8,77.11,,Southpaw,10/24/1965,0,0,0,0,0,0,0,0,Remco Pardoel,749685d24e2cac50
a6a9ab5a824e8f66,UFC 2: No Way Out,3/11/1994,"Denver, Colorado, USA",b72acedda7ddc006,open weight,0,Submission,1,187,,John McCarthy,Johnny Rhodes,319fa1bd3176bded,1,13,29,44,21,38,55,0,0,,1,,12,28,43,0,0,,1,1,100,3,6,50,1,2,50,9,21,43,92,0,7,23,7,69,,2,1,0,182.88,95.25,,Orthodox,,0,0,0,0,0,0,0,0,Fred Ettish,8d5daf67983b65ba,0,4,7,57,7,11,64,0,0,,0,,0,1,0,2,4,50,2,2,100,4,7,56,0,0,,0,0,,0,50,50,100,0,0,,1,1,0,182.88,81.65,,Southpaw,10/12/1955,0,0,0,0,0,0,0,0,Johnny Rhodes,319fa1bd3176bded
a6a9ab5a824e8f66,UFC 2: No Way Out,3/11/1994,"Denver, Colorado, USA",8ea72cf82fac07f6,open weight,0,KO/TKO,1,30,,John McCarthy,Patrick Smith,46c8ec317aff28ac,0,13,17,76,19,25,76,0,0,,0,,12,16,75,1,1,100,0,0,,0,0,,1,1,100,12,16,75,92,7,0,0,7,92,,20,17,0,187.96,102.06,,Orthodox,8/28/1963,0,0,0,0,0,0,0,0,Scott Morris,be9d259be012e8a4,0,0,0,,0,0,,0,1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,,2,1,0,177.8,95.25,,Orthodox,,0,0,0,0,0,0,0,0,Patrick Smith,46c8ec317aff28ac
a6a9ab5a824e8f66,UFC 2: No Way Out,3/11/1994,"Denver, Colorado, USA",fcd8e8ec45eb6b9f,open weight,0,Submission,1,308,,John McCarthy,Royce Gracie,429e7d3725852ce9,0,2,4,50,110,114,96,1,1,100,2,,0,0,,0,0,,2,4,50,2,4,50,0,0,,0,0,,0,0,100,100,0,0,,15,2,3,185.42,79.38,,Southpaw,12/12/1966,0.88,41,1.13,37,0,0,66,0.8,Minoki Ichihara,4565d435005319c0,0,3,7,42,12,16,75,0,0,,0,,3,6,50,0,0,,0,1,0,0,2,0,0,0,,3,5,60,100,0,0,0,0,100,,0,1,0,170.18,80.74,,Orthodox,6/30/1968,0,0,0,0,0,0,0,0,Royce Gracie,429e7d3725852ce9
a6a9ab5a824e8f66,UFC 2: No Way Out,3/11/1994,"Denver, Colorado, USA",c53325be8ce33b8b,open weight,0,Submission,1,401,,John McCarthy,Jason DeLucia,6ceff86fae4f6b3b,0,3,5,60,20,25,80,0,1,0,5,,1,2,50,1,2,50,1,1,100,2,4,50,0,0,,1,1,100,33,33,33,66,0,33,,33,21,1,180.34,86.18,,Southpaw,7/24/1969,0,0,0,0,0,0,0,0,Scott Baker,7d5b12de1625984e,0,0,2,0,14,23,61,1,1,100,0,,0,2,0,0,0,,0,0,,0,2,0,0,0,,0,0,,0,0,0,0,0,0,,1,1,0,182.88,95.25,,,,0,0,0,0,0,0,0,0,Jason DeLucia,6ceff86fae4f6b3b
a6a9ab5a824e8f66,UFC 2: No Way Out,3/11/1994,"Denver, Colorado, USA",17ee4caf06981b81,open weight,0,Submission,1,591,,John McCarthy,Remco Pardoel,749685d24e2cac50,0,4,6,66,20,22,91,1,1,100,1,,4,5,80,0,0,,0,1,0,0,1,0,0,0,,4,5,80,100,0,0,0,0,100,Grizzly,9,6,1,190.5,117.93,,Southpaw,5/23/1969,0,0,0,0,0,0,0,0,Alberta Cerra Leon,6e02c318762f52f1,0,1,3,33,9,11,82,0,0,,0,,1,3,33,0,0,,0,0,,1,1,100,0,0,,0,2,0,100,0,0,100,0,0,,0,1,0,172.72,107.95,,,,0,0,0,0,0,0,0,0,Remco Pardoel,749685d24e2cac50
